DATE,CCR,AGE,GENDER,RACE,ARRESTLOCATION,OFFENSES,INCIDENTLOCATION,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y,ARRESTTIMEONLY,high_temp,low_temp,precipitation
5/25/18,18098555,59,M,B,"400 Block Jonathan ST Pittsburgh, PA 15208",028 Curfew Violation / 9093 Indirect Criminal Contempt,"400 Block Jonathan ST Pittsburgh, PA 15208",Homewood South,5,1303,,,,,17:44:00,56,85,0
9/22/18,18186695,52,M,B,"Federal ST N & W North AV Pittsburgh, PA 15212",100 Fugitive,"Federal ST & W North AV Pittsburgh, PA 15212",Allegheny Center,1,2204,1,1,-80.00663567,40.45545699,08:43:00,56,68,0.51
1/2/18,17240591,60,M,B,"600 Block 1st AV Pittsburgh, PA 15219",13(a)(16) Possession of Controlled Substance,"100 Block Southern AV Pittsburgh, PA 15211",Mount Washington,3,1914,2,5,-80.0091631,40.42704095,23:30:00,5,14,0
1/4/18,18002451,34,M,W,"100 Block Ruth ST Pittsburgh, PA 15211",13(a)(16) Possession of Controlled Substance,"100 Block Ruth ST Pittsburgh, PA 15211",Mount Washington,3,1807,2,5,-80.00522858,40.42378292,20:08:00,4,17,0
1/5/18,18003178,20,M,B,"2200 Block Wilner DR Pittsburgh, PA 15221",13(a)(16) Possession of Controlled Substance,"2200 Block Wilner DR Pittsburgh, PA 15221",East Hills,5,1306,9,2,-79.86682966,40.45338758,20:15:00,-1,9,0
1/10/18,18005845,47,M,W,"1400 Block Tinsbury ST Pittsburgh, PA 15212",13(a)(16) Possession of Controlled Substance," ,  ",,,,,,,,12:47:00,22,46,0
1/11/18,18006678,20,M,B,"Brownsville RD & Nobles LANE Pittsburgh, PA 15210",13(a)(16) Possession of Controlled Substance,"Brownsville RD & Nobles LANE Pittsburgh, PA 15210",Carrick,3,2901,4,3,-79.99011266,40.40383745,17:10:00,43,61,0
1/15/18,18008870,34,M,W,"1500 Block E Carson ST Pittsburgh, PA 15203",13(a)(16) Possession of Controlled Substance,"1500 Block E Carson ST Pittsburgh, PA 15203",South Side Flats,3,1702,3,3,-79.98330671,40.42868483,01:08:00,7,25,0
1/15/18,18008870,24,M,U,"1500 Block E Carson ST Pittsburgh, PA 15203",13(a)(16) Possession of Controlled Substance,"1500 Block E Carson ST Pittsburgh, PA 15203",South Side Flats,3,1702,3,3,-79.98330671,40.42868483,01:08:00,7,25,0
1/15/18,18009432,38,M,B,"Frankstown AV & N Homewood AV Pittsburgh, PA 15208",13(a)(16) Possession of Controlled Substance,"Frankstown AV & N Homewood AV Pittsburgh, PA 15208",Homewood North,5,1302,9,2,-79.89629786,40.45739668,17:45:00,7,25,0
1/15/18,18009432,23,F,B,"Frankstown AV & N Homewood AV Pittsburgh, PA 15208",13(a)(16) Possession of Controlled Substance,"Frankstown AV & N Homewood AV Pittsburgh, PA 15208",Homewood North,5,1302,9,2,-79.89629786,40.45739668,17:45:00,7,25,0
1/15/18,18009432,23,M,B,"Frankstown AV & N Homewood AV Pittsburgh, PA 15208",13(a)(16) Possession of Controlled Substance,"Frankstown AV & N Homewood AV Pittsburgh, PA 15208",Homewood North,5,1302,9,2,-79.89629786,40.45739668,17:45:00,7,25,0
1/17/18,18010522,25,F,W,"300 Block Cedar AV Pittsburgh, PA 15212",13(a)(16) Possession of Controlled Substance,"300 Block Cedar AV Pittsburgh, PA 15212",East Allegheny,1,2304,1,1,-80.00084389,40.45089272,15:39:00,1,15,0.04
1/23/18,18014778,47,M,W,"100 Block Southern AV Pittsburgh, PA 15211",13(a)(16) Possession of Controlled Substance,"100 Block Southern AV Pittsburgh, PA 15211",Mount Washington,3,1914,2,5,-80.0091631,40.42704095,20:50:00,35,53,0.16
1/24/18,18015391,42,F,W,"1100 Block E Carson ST Pittsburgh, PA 15203",13(a)(16) Possession of Controlled Substance,"1100 Block E Carson ST Pittsburgh, PA 15203",South Side Flats,3,1702,3,3,-79.98731788,40.42856797,20:08:00,26,34,0
1/24/18,18015486,43,M,B,"2000 Block Mountford AV Pittsburgh, PA 15214",13(a)(16) Possession of Controlled Substance,"2000 Block Mountford AV Pittsburgh, PA 15214",Fineview,1,2509,1,1,-80.00726852,40.46388307,23:18:00,26,34,0
1/31/18,18019927,42,F,W,"5th AV & Jumonville ST Pittsburgh, PA 15219",13(a)(16) Possession of Controlled Substance,"5th AV & Jumonville ST Pittsburgh, PA 15219",Bluff,2,103,6,3,-79.97766428,40.43823421,15:05:00,8,43,0
2/2/18,18021370,29,M,B,"7100 Block Mt Vernon ST Pittsburgh, PA 15208",13(a)(16) Possession of Controlled Substance,"7100 Block Mt Vernon ST Pittsburgh, PA 15208",Homewood North,5,1302,9,2,-79.89741607,40.46185362,17:43:00,12,24,0.07
2/4/18,18022248,35,M,W,"300 Block North Shore DR Pittsburgh, PA 15212",13(a)(16) Possession of Controlled Substance,"300 Block North Shore DR Pittsburgh, PA 15212",North Shore,1,2205,1,1,-80.00964027,40.45494869,01:30:00,27,38,0
2/6/18,18023995,46,M,W,"Anderson ST & Stockton ST Pittsburgh, PA 15212",13(a)(16) Possession of Controlled Substance,"Anderson ST & Stockton ST Pittsburgh, PA 15212",North Shore,1,2205,1,1,-80.00134049,40.45077575,22:16:00,22,28,0.01
2/6/18,18024004,27,F,W,"California AV & Woodland AV Pittsburgh, PA 15212",13(a)(16) Possession of Controlled Substance,"California AV & Woodland AV Pittsburgh, PA 15212",Marshall-Shadeland,1,2715,1,1,-80.03412741,40.46676301,23:37:00,22,28,0.01
2/7/18,18024540,38,M,W,"East ST & E North AV Pittsburgh, PA 15212",13(a)(16) Possession of Controlled Substance,"East ST & E North AV Pittsburgh, PA 15212",East Allegheny,1,2304,1,1,-79.99882799,40.45692052,22:10:00,19,30,0.33
2/8/18,18024918,19,F,B,"1700 Block Belleau DR Pittsburgh, PA 15212",13(a)(16) Possession of Controlled Substance,"1700 Block Belleau DR Pittsburgh, PA 15212",Fineview,1,2509,6,1,-80.00698007,40.46030258,14:15:00,16,25,0.5
2/10/18,18026456,21,M,W,"400 Block North Shore DR Pittsburgh, PA 15212",13(a)(16) Possession of Controlled Substance,"400 Block North Shore DR Pittsburgh, PA 15212",North Shore,1,2205,1,6,-80.01233658,40.44626305,20:10:00,33,48,0
2/18/18,18031805,26,M,B,"Frankstown AV & N Homewood AV Pittsburgh, PA 15208",13(a)(16) Possession of Controlled Substance,"Frankstown AV & N Homewood AV Pittsburgh, PA 15208",Homewood North,5,1302,9,2,-79.89629786,40.45739668,20:38:00,33,39,0.23
2/18/18,18031822,28,M,B,"Beaver AV & Columbus AV Pittsburgh, PA 15233",13(a)(16) Possession of Controlled Substance,"Beaver AV & Columbus AV Pittsburgh, PA 15233",Chateau,1,2108,6,1,-80.03027663,40.45721395,20:42:00,33,39,0.23
2/19/18,18032228,20,M,B,"1700 Block Belleau DR Pittsburgh, PA 15212",13(a)(16) Possession of Controlled Substance,"1700 Block Belleau DR Pittsburgh, PA 15212",Fineview,1,2509,6,1,-80.00698007,40.46030258,14:15:00,34,64,0
