date,high_temp,low_temp,precipitation
2018-01-01,-1,11,0.02
2018-01-02,5,14,0.00
2018-01-03,0,24,0.00
2018-01-04,4,17,0.00
2018-01-05,-1,9,0.00
2018-01-06,-2,11,0.00
2018-01-07,-5,30,0.00
2018-01-08,29,34,0.02
2018-01-09,27,36,0.13
2018-01-10,22,46,0.00
2018-01-11,43,61,0.00
2018-01-12,21,58,0.00
2018-01-13,8,19,0.34
2018-01-14,-3,15,0.00
2018-01-15,7,25,0.00
2018-01-16,6,27,0.08
2018-01-17,1,15,0.04
2018-01-18,7,27,0.00
2018-01-19,22,39,0.00
2018-01-20,36,46,0.00
2018-01-21,40,50,0.00
2018-01-22,44,63,0.06
2018-01-23,35,53,0.16
2018-01-24,26,34,0.00
2018-01-25,24,30,0.01
2018-01-26,23,53,0.00
2018-01-27,40,52,0.00
2018-01-28,29,48,0.44
2018-01-29,26,45,0.00
2018-01-30,11,27,0.08
2018-01-31,8,43,0.00
2018-02-01,26,45,0.00
2018-02-02,12,24,0.07
2018-02-03,10,33,0.00
2018-02-04,27,38,0.00
2018-02-05,14,26,0.09
2018-02-06,22,28,0.01
2018-02-07,19,30,0.33
2018-02-08,16,25,0.50
2018-02-09,15,40,0.00
2018-02-10,33,48,0.00
2018-02-11,32,56,0.22
2018-02-12,23,35,0.28
2018-02-13,17,41,0.00
2018-02-14,40,50,0.00
2018-02-15,56,62,0.41
2018-02-16,29,61,2.36
2018-02-17,26,33,0.18
2018-02-18,33,39,0.23
2018-02-19,34,64,0.00
2018-02-20,60,78,0.38
2018-02-21,43,70,0.00
2018-02-22,38,43,0.35
2018-02-23,41,63,0.65
2018-02-24,46,57,0.29
2018-02-25,43,60,0.69
2018-02-26,35,52,0.07
2018-02-27,29,56,0.00
2018-02-28,38,64,0.00
2018-03-01,34,56,0.00
2018-03-02,29,39,0.45
2018-03-03,25,42,0.00
2018-03-04,24,43,0.00
2018-03-05,22,42,0.00
2018-03-06,30,48,0.00
2018-03-07,29,39,0.14
2018-03-08,24,32,0.02
2018-03-09,22,30,0.02
2018-03-10,18,39,0.00
2018-03-11,19,40,0.00
2018-03-12,26,42,0.00
2018-03-13,27,34,0.00
2018-03-14,22,30,0.00
2018-03-15,28,42,0.00
2018-03-16,22,37,0.00
2018-03-17,20,38,0.00
2018-03-18,20,53,0.00
2018-03-19,29,54,0.00
2018-03-20,29,41,0.00
2018-03-21,25,33,0.39
2018-03-22,21,38,0.25
2018-03-23,21,38,0.00
2018-03-24,22,41,0.00
2018-03-25,23,40,0.00
2018-03-26,30,50,0.00
2018-03-27,36,51,0.10
2018-03-28,50,56,0.71
2018-03-29,46,62,0.13
2018-03-30,32,45,0.53
2018-03-31,27,56,0.00
2018-04-01,34,51,0.02
2018-04-02,32,41,0.33
2018-04-03,36,59,0.04
2018-04-04,30,60,1.22
2018-04-05,28,44,0.00
2018-04-06,33,57,0.00
2018-04-07,27,37,0.13
2018-04-08,27,38,0.00
2018-04-09,27,35,0.00
2018-04-10,25,42,0.08
2018-04-11,33,56,0.00
2018-04-12,48,77,0.01
2018-04-13,65,83,0.00
2018-04-14,58,81,0.00
2018-04-15,48,75,0.00
2018-04-16,33,47,1.40
2018-04-17,30,36,0.12
2018-04-18,30,53,0.02
2018-04-19,33,44,0.28
2018-04-20,28,53,0.02
2018-04-21,29,56,0.00
2018-04-22,45,67,0.00
2018-04-23,50,71,0.00
2018-04-24,49,59,0.00
2018-04-25,44,57,0.47
2018-04-26,38,61,0.00
2018-04-27,43,67,0.00
2018-04-28,38,55,0.02
2018-04-29,32,52,0.01
2018-04-30,33,67,0.00
2018-05-01,45,79,0.00
2018-05-02,52,83,0.00
2018-05-03,67,83,0.00
2018-05-04,61,80,0.23
2018-05-05,49,71,0.00
2018-05-06,55,66,0.00
2018-05-07,54,72,0.00
2018-05-08,49,78,0.00
2018-05-09,56,81,0.00
2018-05-10,63,79,0.11
2018-05-11,54,65,0.14
2018-05-12,51,82,0.00
2018-05-13,56,74,0.46
2018-05-14,63,77,0.02
2018-05-15,60,81,0.05
2018-05-16,62,75,0.00
2018-05-17,64,79,0.00
2018-05-18,64,74,0.22
2018-05-19,58,77,0.00
2018-05-20,63,73,0.67
2018-05-21,58,81,0.00
